PublicationYear,PublicationDate,Journal,Title,Authors,DOI,LandingPageUrl,OpenAlexWorkId
2020,2020-03-01,JETA,Learning from Machine Learning in Accounting and Assurance,Soohyun Cho; Miklos A. Vasarhelyi; Ting Sun; Chanyuan Zhang,https://doi.org/10.2308/jeta-10718,https://doi.org/10.2308/jeta-10718,https://openalex.org/W3035797136
2020,2020-02-26,JIS,How Does Information Processing Efficiency Relate to Investment Efficiency? Evidence from XBRL Adoption,Xin Cheng; Feiqi Huang; Dan Palmon; Cheng Yin,https://doi.org/10.2308/isys-18-063,https://doi.org/10.2308/isys-18-063,https://openalex.org/W3008213693
2020,2020-01-16,JETA,Exploring the Playground: Blockchain Prototype Use Cases with Hyperledger Composer,Ethan Kinory; Sean Stein Smith; Kimberly Swanson Church,https://doi.org/10.2308/jeta-19-03-27-11,https://doi.org/10.2308/jeta-19-03-27-11,https://openalex.org/W3000551327
2020,2020-01-10,JIS,"Green IT Perceptions and Activities of Internal Auditors in Australia, Canada, and the United States",Kyunghee Yoon; Won Gyun No; Glen L. Gray; Peter Roebuck,https://doi.org/10.2308/isys-17-061,https://doi.org/10.2308/isys-17-061,https://openalex.org/W2998849085
2020,2020-01-01,JETA,Exploring the Playground: Blockchain Prototype Use Cases with Hyperledger Composer,Ethan Kinory; Sean Stein Smith; Kimberly Swanson Church,https://doi.org/10.2308/jeta-52717,https://doi.org/10.2308/jeta-52717,https://openalex.org/W4249509422
2019,2019-11-19,JETA,"Business Process ""De-Engineering"": Establishing the Value of the Human Auditor in an Automated Audit System",Michael Alles,https://doi.org/10.2308/jeta-19-04-02-18,https://doi.org/10.2308/jeta-19-04-02-18,https://openalex.org/W2991253482
2019,2019-11-07,IJAIS,Applying robotic process automation (RPA) in auditing: A framework,Feiqi Huang; Miklos A. Vasarhelyi,https://doi.org/10.1016/j.accinf.2019.100433,https://doi.org/10.1016/j.accinf.2019.100433,https://openalex.org/W2982980691
2019,2019-11-01,JETA,Business Process “De-Engineering”: Establishing the Value of the Human Auditor in an Automated Audit System,Michael Alles,https://doi.org/10.2308/jeta-52687,https://doi.org/10.2308/jeta-52687,https://openalex.org/W4253283686
2019,2019-10-21,JIS,Will the Medium Become the Message? A Framework for Understanding the Coming Automation of the Audit Process,Michael Alles; Glen L. Gray,https://doi.org/10.2308/isys-52633,https://doi.org/10.2308/isys-52633,https://openalex.org/W2982222743
2019,2019-10-16,JIS,"How Significant are the Differences in Financial Data Provided by Key Data Sources? A Comparison of XBRL, Compustat, Yahoo! Finance, and Google Finance",J. Efrim Boritz; Won Gyun No,https://doi.org/10.2308/isys-52618,https://doi.org/10.2308/isys-52618,https://openalex.org/W2980329567
2019,2019-10-16,JIS,The Role of Web Assurance Seals in Nonprofit Giving,Joseph Canada; Erica Harris,https://doi.org/10.2308/isys-52614,https://doi.org/10.2308/isys-52614,https://openalex.org/W2980703331
2019,2019-09-01,JETA,Annual Editor Report,Miklos A. Vasarhelyi; Hui Du,https://doi.org/10.2308/jeta-10741,https://doi.org/10.2308/jeta-10741,https://openalex.org/W3211826499
2019,2019-09-01,JIS,Annual Editor Report,Alexander Kogan; Patrick Wheeler,https://doi.org/10.2308/isys-10745,https://doi.org/10.2308/isys-10745,https://openalex.org/W4255625144
2019,2019-09-01,JETA,Intelligent Process Automation in Audit,Chanyuan Zhang,https://doi.org/10.2308/jeta-52653,https://doi.org/10.2308/jeta-52653,https://openalex.org/W2981950920
2019,2019-09-01,JETA,The Forthcoming Data Ecosystem for Business Measurement and Assurance,Soohyun Cho; Miklos A. Vasarhelyi; Chanyuan Zhang,https://doi.org/10.2308/jeta-10699,https://doi.org/10.2308/jeta-10699,https://openalex.org/W3005869272
2019,2019-08-02,JIS,Cloud-Based In-Memory Columnar Database Architecture for Continuous Audit Analytics,Yunsen Wang; Alexander Kogan,https://doi.org/10.2308/isys-52531,https://doi.org/10.2308/isys-52531,https://openalex.org/W2964803099
2019,2019-03-01,JETA,"Measuring with Exogenous Data (MED), and Government Economic Monitoring (GEM)",Helen L. Brown‐Liburd; Arion Cheong; Miklos A. Vasarhelyi; Xinxin Wang,https://doi.org/10.2308/jeta-10682,https://doi.org/10.2308/jeta-10682,https://openalex.org/W2990898436
2019,2019-03-01,JETA,Reengineering the Audit with Blockchain and Smart Contracts,Andrea Rozario; Chanta Thomas,https://doi.org/10.2308/jeta-52432,https://doi.org/10.2308/jeta-52432,https://openalex.org/W2941144870
2018,2018-10-04,IJAIS,Examining the role of the AIS research literature using the natural experiment of the 2018 JIS conference on cloud computing,Michael Alles,https://doi.org/10.1016/j.accinf.2018.09.001,https://doi.org/10.1016/j.accinf.2018.09.001,https://openalex.org/W2894846401
2018,2018-09-01,JETA,A Framework for Legacy Source Code Audit Analytics,Kevin Moffitt,https://doi.org/10.2308/jeta-52269,https://doi.org/10.2308/jeta-52269,https://openalex.org/W2891519787
2018,2018-09-01,JETA,Annual Editor Report,Miklos A. Vasarhelyi; Hui Du,https://doi.org/10.2308/10.2308/jeta-10673,https://doi.org/10.2308/10.2308/jeta-10673,https://openalex.org/W4256537910
2018,2018-09-01,JIS,Annual Editor Report,Alexander Kogan; Patrick Wheeler,https://doi.org/10.2308/isys-10688,https://doi.org/10.2308/isys-10688,https://openalex.org/W4240745665
2018,2018-09-01,JETA,Technological Disruption in Accounting and Auditing,Cong Yu; Hui Du; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-10640,https://doi.org/10.2308/jeta-10640,https://openalex.org/W2948237974
2018,2018-08-08,ISAFM,Predicting credit card delinquencies: An application of deep neural networks,Ting Sun; Miklos A. Vasarhelyi,https://doi.org/10.1002/isaf.1437,https://doi.org/10.1002/isaf.1437,https://openalex.org/W2886399336
2018,2018-07-01,JETA,AIS Research and Government Accounting Research Compared: Special Section of <i>JETA</i> on the Use of AIS Technology in Government Reporting,Hussein Issa,https://doi.org/10.2308/jeta-10590,https://doi.org/10.2308/jeta-10590,https://openalex.org/W2886119847
2018,2018-07-01,JETA,Robotic Process Automation for Auditing,Kevin Moffitt; Andrea Rozario; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-10589,https://doi.org/10.2308/jeta-10589,https://openalex.org/W2886573619
2018,2018-06-29,IJAIS,SEC's cybersecurity disclosure guidance and disclosed cybersecurity risk factors,He Li; Won Gyun No; Tawei Wang,https://doi.org/10.1016/j.accinf.2018.06.003,https://doi.org/10.1016/j.accinf.2018.06.003,https://openalex.org/W2810555936
2018,2018-06-28,IJAIS,Designing confidentiality-preserving Blockchain-based transaction processing systems,Yunsen Wang; Alexander Kogan,https://doi.org/10.1016/j.accinf.2018.06.001,https://doi.org/10.1016/j.accinf.2018.06.001,https://openalex.org/W2811197371
2018,2018-06-01,JIS,Discrepancies in Hospital Financial Information: Comparison of Financial Data in State Data Repositories and the Healthcare Cost Reporting Information System,Melvin A. Lamboy-Ruiz; Won Gyun No; Olena V. Watanabe,https://doi.org/10.2308/isys-52149,https://doi.org/10.2308/isys-52149,https://openalex.org/W2806794310
2018,2018-06-01,JIS,Do Managers Use Extension Elements Strategically in the SEC's Tagged Data for Financial Statements? Evidence from XBRL Complexity,Feiqi Huang; Won Gyun No; Miklos A. Vasarhelyi,https://doi.org/10.2308/isys-52162,https://doi.org/10.2308/isys-52162,https://openalex.org/W2808093737
